ABOD	phenotype_decimal	frequencies
O-	0	0.073542
O+	1	0.366958
B-	2	0.015168
B+	3	0.076632
A-	4	0.071665
A+	5	0.356035
AB-	6	0.006682
AB+	7	0.033318
